yt_url,title,author,views,views_numeric,scaled_views,date,year,thumb_url,img_id,rgn,hsl,hex,red,green,blue,hue,sat,lig,PC1,PC2,PC3,PC4,PC5
https://www.youtube.com/watch?v=XqZsoesa55w&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=1&pp=iAQB,Baby Shark Dance | #babyshark Most Viewed Video | Animal Songs | PINKFONG Songs for Children,Baby Shark - Pinkfong Kids’ Songs & Stories,15B views,15000000000,1000,8 years ago,2016,https://img.youtube.com/vi/XqZsoesa55w/hqdefault.jpg,XqZsoesa55w,"rgb(236, 156, 163)",hsl(355 68% 77%),#ec9ca3,236,156,163,355,68,77,2.146277049,2.494072219,0.645153365,-0.4280767536,-0.2611186635
https://www.youtube.com/watch?v=kJQP7kiw5Fk&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=2&pp=iAQB,Luis Fonsi - Despacito ft. Daddy Yankee,Luis Fonsi,8.5B views,8500000000,566.6666667,7 years ago,2017,https://img.youtube.com/vi/kJQP7kiw5Fk/hqdefault.jpg,kJQP7kiw5Fk,"rgb(50, 37, 9)",hsl(41 69% 12%),#322509,50,37,9,41,69,12,-1.632190311,0.08462190256,2.308692008,-0.0543196567,0.133144816
https://www.youtube.com/watch?v=F4tHL8reNCs&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=3&pp=iAQB,Johny Johny Yes Papa 👶 THE BEST Song for Children | Kids Songs | LooLoo Kids,LooLoo Kids - Nursery Rhymes and Kids Songs,6.9B views,6900000000,460,8 years ago,2016,https://img.youtube.com/vi/F4tHL8reNCs/hqdefault.jpg,F4tHL8reNCs,"rgb(185, 126, 82)",hsl(26 42% 52%),#b97e52,185,126,82,26,42,52,0.5460200519,-0.6303018997,0.9226208361,-0.3521519783,-0.0529969397
https://www.youtube.com/watch?v=WRVsOCh907o&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=4&pp=iAQB,Bath Song | @CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,6.8B views,6800000000,453.3333333,6 years ago,2018,https://img.youtube.com/vi/WRVsOCh907o/hqdefault.jpg,WRVsOCh907o,"rgb(225, 200, 193)",hsl(13 35% 82%),#e1c8c1,225,200,193,13,35,82,2.814672521,-0.8390591431,0.3072728919,0.1012965591,-0.1163739772
https://www.youtube.com/watch?v=e_04ZrNroTo&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=5&pp=iAQB,Wheels on the Bus | @CoComelon Nursery Rhymes & Kids Songs,Cocomelon - Nursery Rhymes,6.6B views,6600000000,440,6 years ago,2018,https://img.youtube.com/vi/e_04ZrNroTo/hqdefault.jpg,e_04ZrNroTo,"rgb(198, 177, 108)",hsl(46 44% 60%),#c6b16c,198,177,108,46,44,60,1.413920886,-0.4891594189,0.8294709108,-0.487720543,0.2929771221
https://www.youtube.com/watch?v=RgKAFK5djSk&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=6&pp=iAQB,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,Wiz Khalifa,6.4B views,6400000000,426.6666667,9 years ago,2015,https://img.youtube.com/vi/RgKAFK5djSk/hqdefault.jpg,RgKAFK5djSk,"rgb(19, 19, 17)",hsl(60 6% 7%),#131311,19,19,17,60,6,7,-2.235056047,-0.9147340218,-0.4304114402,0.1158722587,-0.007877044906
https://www.youtube.com/watch?v=JGwWNGJdvx8&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=7&pp=iAQB,Ed Sheeran - Shape of You (Official Music Video),Ed Sheeran,6.3B views,6300000000,420,7 years ago,2017,https://img.youtube.com/vi/JGwWNGJdvx8/hqdefault.jpg,JGwWNGJdvx8,"rgb(48, 60, 74)",hsl(212 21% 24%),#303c4a,48,60,74,212,21,24,-0.9413839721,0.5658018166,-0.5057502419,0.07916585859,0.04304644222
https://www.youtube.com/watch?v=hq3yfQnllfQ&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=8&pp=iAQB,Phonics Song with TWO Words - A For Apple - ABC Alphabet Songs with Sounds for Children,ChuChu TV Nursery Rhymes & Kids Songs,6B views,6000000000,400,10 years ago,2014,https://img.youtube.com/vi/hq3yfQnllfQ/hqdefault.jpg,hq3yfQnllfQ,"rgb(47, 79, 166)",hsl(224 56% 42%),#2f4fa6,47,79,166,224,56,42,0.6520320177,1.432084046,0.6749914977,0.8354054227,-0.2243245434
https://www.youtube.com/watch?v=9bZkp7q19f0&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=10&pp=iAQB,PSY - GANGNAM STYLE(강남스타일) M/V,officialpsy,5.3B views,5300000000,353.3333333,12 years ago,2012,https://img.youtube.com/vi/9bZkp7q19f0/hqdefault.jpg,9bZkp7q19f0,"rgb(204, 192, 192)",hsl(0 11% 78%),#ccc0c0,204,192,192,0,11,78,2.498059162,-1.380159932,-0.6533625764,0.1899937689,-0.1323735906
https://www.youtube.com/watch?v=OPf0YbXqDm0&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&index=9&pp=iAQB,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,Mark Ronson,5.3B views,5300000000,353.3333333,9 years ago,2015,https://img.youtube.com/vi/OPf0YbXqDm0/hqdefault.jpg,OPf0YbXqDm0,"rgb(213, 195, 197)",hsl(353 18% 80%),#d5c3c5,213,195,197,353,18,80,2.545910313,1.514567897,-1.583928553,-0.3479167447,0.007168374193
